Job Title,Company Name,Salary,Location,Description,Posted Days Ago,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7,Skill8
Data Analyst,Neostats Analytics Solutions,Not disclosed,"Chennai, Bengaluru",Role & responsibilities Create Data Mapping (Source to Target) based on requirementPre...,19 Days Ago,data modeling,Data Warehousing,SQL,UAT,Python,Data analysis,Modeling,Data
Data Analyst,Nextgrowth Labs,Not disclosed,Bengaluru,We are looking for a passionate certified Data AnalystProven working experience as a Da...,30+ Days Ago,Business objects,SAS,Process improvement,XML,Javascript,Data collection,Manager Quality Control,SPSS
Statistician and Data Analyst,Selco Foundation,Not disclosed,Bengaluru,"PG or Masters degree in Statistics, Bio-Statistics, Demography, Economics, Management, ...",30+ Days Ago,Data analysis,MIS,Analytical,Data collection,PHP,Data quality,data integrity,SPSS
Data Analyst,Aeries Technology,Not disclosed,Bengaluru,s. Position/Title. Job Description. Consultant. Department. Implementation. Locatio...,20 Days Ago,driving,ssrs,power bi,data structures,etl,sql,communication skills,statistics
Data Analyst,Umamicasa,Not disclosed,Bengaluru,A Data Analyst interprets complex data sets to help organizations make informed busi...,22 Days Ago,Analytical skills,Excel,Strategic planning,Data Analyst,Operations,SQL,Python,Data analysis
Data Analyst,Equifax Credit Information Services Private Limited,Not disclosed,Bengaluru,"As an Big data Specialist at Equifax, you will play a pivotal role in managing ...",30+ Days Ago,Performance tuning,Automation,Data modeling,MySQL,Debugging,PLSQL,Healthcare,Informatica
Data Analyst - CX,Cheq Digital,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru","Collect, update, and maintain the demand and supply databas...",30+ Days Ago,Data analysis,Automation,Data management,Staffing,MIS,Process improvement,Analytical,Data collection
Data Analyst,21 Knots Design And Consulting,Not disclosed,Hybrid - Bengaluru,"Preferred candidate profile . Bachelors or Masters degree in Data Science, Computer Sci...",29 Days Ago,AI and ML techniques,Python / R,SQL,Python,Artificial Intelligence,Data analysis,R,Ml
Data Analyst (AI-LLM),Ringcentral,Not disclosed,Bengaluru,We are seeking a skilled Data Analyst to join our team. The successful candidate will...,29 Days Ago,Data analysis,Diagnostics,Machine learning,Data collection,Video conferencing,Analytics,SQL,Python
Data Analyst,Zageno,Not disclosed,Bengaluru,Experience working with Databricks using AWS Cloud is a plus . Bachelors degree in Comp...,30+ Days Ago,Data analysis,Analytical,E-commerce,Life sciences,data integrity,Merchandising,Analytics,SQL
Data Analyst,Kazam,Not disclosed,Bengaluru,QualificationsBachelors or Masters degree in Statistics / Applied Mathematics/ Computer...,30+ Days Ago,Computer science,Stakeholder Engagement,Coding,power bi,MongoDB,Data Analyst,Mathematics,Monitoring
Data Analyst,Sparkcognition,Not disclosed,Bengaluru,"Who are we and why this opportunity?. SparkCognition, Inc. delivers world-class AI solu...",20 Days Ago,r,python,tableau,power bi,mysql,sql server,sql,communication skills
Data Analyst,Sparkcognition,Not disclosed,Bengaluru,Required Skills Experience: . 5+ years of experience working in renewable industry espe...,28 Days Ago,Operational excellence,Performance management,MySQL,Machine learning,Senior Data Analyst,Genetics,Manager Quality Control,Analytics
Data Analyst,Netcore Cloud,Not disclosed,Bengaluru,Work closely with a team of data scientists and Analysts to label data that will be ...,30+ Days Ago,Training,Excel,Machine learning,E-commerce,Data Analyst,SQL,Python,Data entry
